B01001_001E,B19013_001E,B19001_001E,B25003_003E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,B11001_001E,B11001_002E,B11001_007E,B15003_001E,B15003_016E,B15003_017E,B15003_018E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B20002_002E,B20002_003E,B23025_001E,B23025_002E,B23025_005E,B18101_001E,B18101_002E,B17001_001E,B17001_002E,state,county,tract
4063,97445,1543,542,48,0,4,190,4063,2307,38,330,1249,1543,1164,379,2947,16,936,81,179,460,270,46,18,64919,47500,3571,2203,166,4063,1862,4063,371,36,005,016000
4789,23466,2127,2074,258,21,256,834,4789,163,1436,0,3111,2127,1372,755,3445,255,651,192,128,658,72,0,0,33229,25547,3829,1928,400,4789,2216,4789,1757,36,005,016100
1802,102361,497,207,0,32,22,47,1802,547,132,171,876,497,391,106,1240,7,320,65,112,137,151,30,14,75385,41534,1442,839,70,1621,872,1621,123,36,005,016200
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,005,016300
1107,95781,391,127,0,8,10,56,1107,400,55,342,285,391,279,112,796,20,233,38,62,114,109,6,5,70511,51974,919,421,3,1107,561,1107,278,36,005,016400
1233,59000,360,360,34,0,30,120,1233,5,734,0,450,360,267,93,826,31,227,28,97,111,28,0,0,33333,39271,897,633,70,1233,583,1233,205,36,005,016500
2387,107344,833,465,35,0,0,136,2387,521,327,126,1300,833,644,189,1568,15,291,75,114,352,127,6,3,61136,54000,1819,1255,114,2387,1060,2371,362,36,005,016600
3203,36181,1123,1086,144,65,71,283,3203,14,1357,0,1757,1123,702,421,1980,78,396,202,339,179,16,27,0,45634,25387,2496,1352,181,3203,1455,3173,1334,36,005,016700
1759,47610,605,555,92,0,33,210,1759,22,763,0,859,605,334,271,1240,88,321,82,40,167,110,0,0,15944,36375,1493,863,162,1759,751,1728,769,36,005,016900
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,005,017100
5257,-666666666,2226,2071,0,177,115,642,5257,587,2177,49,2430,2226,1336,890,3860,153,830,454,147,394,60,0,0,59886,34901,4508,2073,246,5254,2005,5254,2155,36,005,017300
6444,-666666666,3035,3035,243,154,91,1116,6444,274,3665,0,2313,3035,1530,1505,3852,62,1221,224,136,593,173,21,60,-666666666,27083,4568,2525,256,6413,2745,6413,2107,36,005,017500
4566,46070,1397,1335,32,123,54,292,4566,111,2051,70,2334,1397,1025,372,3244,432,559,62,215,381,31,14,0,37915,31452,3785,2333,210,4163,1874,4194,1435,36,005,017701
5236,38897,1681,1359,93,17,157,475,5236,43,2517,166,2094,1681,1306,375,3122,92,740,122,136,348,94,0,7,28560,28401,3964,1992,353,5236,2775,5236,1983,36,005,017702
4993,45292,1689,1507,116,189,134,616,4993,68,1188,220,3457,1689,1112,577,3333,153,715,151,142,348,139,21,0,35514,30137,3928,2187,245,4993,2576,4993,1137,36,005,017901
3571,46230,1305,1305,13,63,113,563,3571,78,1347,0,2146,1305,1006,299,2186,119,498,24,177,293,173,0,0,41713,26908,2355,1645,134,3571,1651,3571,582,36,005,017902
3345,55400,1048,947,89,138,0,302,3345,63,1231,2,1991,1048,758,290,1980,29,588,99,226,181,35,0,0,45765,24119,2495,1635,163,3340,1749,3340,782,36,005,018101
4903,36334,2161,2100,59,79,60,938,4903,105,1926,6,2747,2161,838,1323,3472,70,1045,144,414,303,101,55,0,39561,31607,3940,2396,157,4689,2147,4672,1408,36,005,018102
4427,54226,2017,1479,217,154,146,391,4427,643,1334,122,2058,2017,887,1130,3288,30,594,100,273,693,333,95,11,49388,41136,3593,2115,195,4427,2190,4427,825,36,005,018301
3301,65196,1467,1357,239,34,127,514,3301,1,1312,1,1953,1467,725,742,2126,66,217,210,297,114,152,26,0,37868,42558,2572,1789,179,3301,1380,3301,744,36,005,018302
3994,101705,1376,876,28,25,47,256,3994,1584,68,703,1530,1376,946,430,2716,49,781,119,319,537,138,9,11,42578,52409,3054,2110,105,3994,2031,3994,410,36,005,018400
3154,-666666666,1381,1381,114,0,82,420,3154,72,1362,0,1635,1381,684,697,1931,28,209,23,207,264,206,0,0,21563,36014,2479,1389,179,3154,1657,3138,1000,36,005,018501
6658,32656,2156,2087,198,183,47,744,6658,63,2006,0,3944,2156,1356,800,4011,104,766,444,796,284,59,2,0,39052,29201,4922,2349,510,6651,2968,6590,2732,36,005,018502
8375,48054,2925,2769,187,123,287,939,8375,436,2362,50,5285,2925,1734,1191,5033,225,650,492,476,828,193,42,0,37216,37067,6125,3818,228,8293,3949,8164,2479,36,005,018900
5751,41268,2418,2358,325,33,168,278,5751,276,2635,0,2765,2418,1456,962,4120,184,1134,306,108,466,239,0,0,49263,33152,4593,2606,75,5751,2832,5608,1389,36,005,019300
1966,87188,686,306,14,25,21,82,1966,295,303,158,1131,686,485,201,1423,31,284,163,222,227,63,6,0,67857,48313,1555,1014,26,1966,1024,1966,245,36,005,019400
7286,37374,2672,2599,88,183,425,989,7286,483,2973,56,3580,2672,1400,1272,4993,338,1264,358,657,534,233,0,0,45298,28604,5573,2936,524,7286,4015,6737,2959,36,005,019500
7478,24383,2462,2462,292,156,158,1366,7478,11,1068,161,5931,2462,1650,812,4448,252,991,90,360,295,204,0,0,27038,26726,5465,2868,343,7478,3890,7395,3932,36,005,019700
7300,31228,3162,2938,215,91,370,1252,7300,21,2521,0,4569,3162,1971,1191,4837,186,1268,419,941,284,189,57,44,28201,36146,5223,3210,233,7300,3369,7237,3070,36,005,019900
4925,47161,1467,1130,113,43,164,437,4925,122,364,1471,2715,1467,1098,369,3035,175,639,63,361,489,213,14,13,36410,27426,3722,2210,141,4911,2451,4911,1149,36,005,020000
3950,36218,1439,1439,105,114,255,569,3950,169,1038,18,2714,1439,977,462,2470,110,426,185,198,151,12,0,0,23281,26618,3166,1552,367,3950,1603,3950,1704,36,005,020100
2597,52061,1000,826,27,94,109,266,2597,93,248,386,1852,1000,588,412,1807,44,444,27,173,238,143,14,0,32054,24941,2144,1306,80,2574,1365,2564,592,36,005,020200
2966,60504,987,770,99,52,86,232,2966,122,241,403,2012,987,698,289,1798,29,497,92,194,172,107,23,0,54761,37083,2169,1267,105,2944,1486,2959,666,36,005,020400
7319,20821,2652,2491,76,134,126,970,7319,93,1667,35,5430,2652,1659,993,4530,145,1267,393,288,159,65,0,0,36964,21427,5226,2572,378,7319,3021,7319,3904,36,005,020501
2401,41125,1016,858,76,49,42,282,2401,38,648,24,1644,1016,588,428,1695,45,483,115,207,200,53,0,8,31700,35000,2147,1265,116,2393,1209,2375,538,36,005,020502
2547,59138,1028,767,151,57,51,237,2547,137,220,913,1103,1028,575,453,1737,49,358,265,146,324,65,13,0,44250,50055,2210,1327,47,2544,1147,2540,619,36,005,020601
5225,39795,1989,1944,348,45,205,471,5225,130,1841,29,3107,1989,1265,724,3191,128,815,479,335,263,80,16,0,38075,27466,3675,2342,207,5225,2434,5212,1288,36,005,020900
7519,46223,3570,2607,163,211,151,808,7519,145,3797,829,2647,3570,1802,1768,5229,16,929,480,576,897,547,15,16,57936,35858,6094,3597,642,7519,3495,7518,2048,36,005,021001
7453,70500,3046,2461,169,117,147,718,7453,377,2961,1568,2336,3046,1865,1181,4985,38,1240,242,533,797,728,109,0,68646,52727,5595,3526,306,7453,3382,7426,1761,36,005,021002
6291,50204,2057,1882,207,129,33,431,6291,184,1612,73,4176,2057,1181,876,3775,201,693,347,342,409,81,11,38,56964,24402,4735,2623,263,6286,2898,6155,1831,36,005,021100
5227,69088,2356,1848,56,59,129,613,5227,101,1607,1701,1711,2356,1207,1149,3716,170,755,178,272,706,250,14,13,44592,63368,4083,2443,173,5227,2547,5098,1064,36,005,021200
1244,47959,450,319,44,12,49,101,1244,19,323,0,902,450,300,150,736,33,166,49,40,78,10,0,0,37083,22885,971,604,141,1244,653,1244,364,36,005,021301
